suggestion,male,female,sum,code,,,male,female,,,work,election,media,personal,,,
artist,9,1,10,work,,work,1474,438,,male,1474,100,696,70,,,
campaign,8,2,10,election,,election,100,35,,female,438,35,194,15,,,
website,6,4,10,media,,media,696,194,,,,,,,,,
bernie sanders,6,4,10,election,,personal,70,15,,,,,,,,,
election,8,3,11,election,,,,,,,,,,,,,
quotes,7,4,11,,,,,,,,work,election,media,social,,Row Totals,
2016,6,7,13,,,,,,,male,1474€€(1480.50)€€[0.03],100€€(104.53)€€[0.20],696€€(689.15)€€[0.07],70€€(65.82)€€[0.27],,2340,
endorsement,11,3,14,election,,,,,,female,438€€(431.50)€€[0.10],35€€(30.47)€€[0.67],194€€(200.85)€€[0.23],15€€(19.18)€€[0.91],,682,
family,10,4,14,personal,,,,,,,,,,,,,
hillary clinton,7,8,15,election,,,,,,,,,,,,,
retiring,11,5,16,work,,,,,,,,,,,,,
trump,15,2,17,election,,,,,,,,,,,,,
supreme court,14,3,17,work,,,,,,,,,,,,,
jr,17,1,18,,,,,,,,website,email,contact,instragram,wiki,facebook,twitter
tpp,14,5,19,work,,,,,,male,6,22,22,20,100,149,303
senator,19,2,21,work,,,,,,female,4,6,3,9,18,41,88
obituary,23,1,24,personal,,,,,,,,,,,,,
for senate,17,7,24,work,,,,,,,insta,wiki,facebook,twitter,,Row Totals,
contact,22,3,25,media,,,,,,male,20€€(22.79)€€[0.34],100€€(92.71)€€[0.57],149€€(149.29)€€[0.00],303€€(307.21)€€[0.06],,572,
address,19,6,25,,,,,,,female,9€€(6.21)€€[1.25],18€€(25.29)€€[2.10],41€€(40.71)€€[0.00],88€€(83.79)€€[0.21],,156,
email,22,6,28,media,,,,,,,,,,,,,
instagram,20,9,29,media,,,,,,,,,,,,,
committee assignments,28,4,32,work,,,,,,,,,,,,,
district map,20,13,33,work,,,,,,,,,,,,,
primary,39,5,44,work,,,,,,,,,,,,,
biography,37,10,47,personal,,,,,,,,,,,,,
senate,37,10,47,work,,,,,,,,,,,,,
net worth,45,8,53,work,,,,,,,,,,,,,
voting record,45,13,58,election,,,,,,,,,,,,,
district,63,18,81,work,,,,,,,,,,,,,
congress,72,11,83,work,,,,,,,,,,,,,
internship,62,36,98,work,,,,,,,,,,,,,
bio,74,25,99,media,,,,,,,,,,,,,
wiki,100,18,118,media,,,,,,,,,,,,,
dc office,93,36,129,work,,,,,,,,,,,,,
office,121,34,155,work,,,,,,,,,,,,,
chief of staff,117,39,156,work,,,,,,,,,,,,,
facebook,149,41,190,media,,,,,,,,,,,,,
for congress,198,52,250,work,,,,,,,,,,,,,
committees,201,60,261,work,,,,,,,,,,,,,
staff,294,89,383,work,,,,,,,,,,,,,
twitter,303,88,391,media,,,,,,,,,,,,,
