suggestion,democrat,republic
primary,37,7
facebook,118,72
voting record,42,16
trump,17,0
for congress,146,104
wife,26,10
donald trump,9,0
rubio,7,0
md,12,4
scalia,6,0
for senate,16,8
ted cruz,7,1
phone number,7,1
supreme court,12,5
marco rubio,5,0
freedom caucus,5,0
endorsement,10,4
actor,10,4
family,10,4
committee assignments,20,12
address,16,9
net worth,31,21
district,47,34
rand paul,4,0
faa,4,0
hudl,4,0
sensenbrenner,4,0
nfl,4,0
art,4,0
photography,4,0
staff,215,167
height,6,2
campaign,7,3
artist,7,3
tx,3,0
books,3,0
son,3,0
college,3,0
climate,3,0
renacci,3,0
twitter,218,170
for president,4,1
poll,4,1
football,5,2
llc,2,0
tn,2,0
mobile al,2,0
budget,2,0
az,2,0
primary challenger,2,0
alabama,2,0
company,2,0
sister,2,0
2015,2,0
crapo,2,0
kkk,2,0
canada,2,0
views,2,0
mma,2,0
beard,2,0
conaway,2,0
imdb,2,0
letter,2,0
nevada,2,0
realtor,2,0
michigan,2,0
watson,2,0
north korea,2,0
ohio,2,0
singer,2,0
pakistan,2,0
workout,2,0
global warming,2,0
drummer,2,0
gmo,2,0
basketball,2,0
utah,2,0
harvard,2,0
pa,2,0
opponent,2,0
pwc,2,0
comics,2,0
kansas,2,0
ky,2,0
ge,2,0
election,7,4
senator,12,8
ga,3,1
baseball,3,1
puerto rico,3,1
chicken,3,1
tennessee,3,1
planned parenthood,3,1
retirement,3,1
ad,3,1
education,3,1
congress,47,36
contact information,4,2
house,4,2
florida,5,3
immigration,5,3
dc office,72,56
dance,1,0
foreign relations committee,1,0
pearce,1,0
iii obituary,1,0
atlanta,1,0
birthplace,1,0
preferred apartment communities,1,0
tv,1,0
wyoming,1,0
conaway wikipedia,1,0
sensenbrenner kimberly clark,1,0
macleod,1,0
me,1,0
cia,1,0
retail,1,0
crapo address,1,0
dell,1,0
wharton,1,0
deloitte,1,0
full movie,1,0
china,1,0
job bank,1,0
minerals,1,0
inn,1,0
lubbock office,1,0
pbr,1,0
asparagus,1,0
michael,1,0
temple,1,0
monsanto,1,0
george holding,1,0
financial services,1,0
ivy tech,1,0
wrestling,1,0
general atomics,1,0
boots,1,0
patty murray,1,0
appropriations committee,1,0
wells fargo,1,0
pbgc,1,0
educational background,1,0
flipsyde,1,0
baker botts,1,0
nrcc,1,0
beutler for congress,1,0
medicare part d,1,0
south carolina,1,0
kids,1,0
survivor,1,0
and friends band,1,0
alaska,1,0
leadership,1,0
advertising,1,0
military,1,0
writer,1,0
ears,1,0
dax lopez,1,0
turkey calls,1,0
duck,1,0
politico,1,0
wastebook,1,0
the voice,1,0
amata,1,0
msu,1,0
sports,1,0
