suggestion,black,not_black
committees,14,247
staff,26,357
twitter,27,364
facebook,11,179
wiki,6,112
internship,5,93
email,0,28
for congress,19,231
address,0,25
contact,0,25
senate,2,45
dc office,9,120
senator,0,21
linkedin,0,21
tpp,0,19
trump,0,17
supreme court,0,17
md,0,16
actor,0,14
office,12,143
2016,0,13
for senate,1,23
obituary,1,23
voting record,4,54
email address,0,10
iran,0,10
artist,0,10
website,0,10
district map,2,31
gun control,0,9
donald trump,0,9
height,0,9
primary,3,41
ted cruz,0,8
immigration,0,8
age,0,8
phone number,0,8
rubio,0,7
cuba,0,7
committee,0,6
scalia,0,6
house,0,6
on the issues,0,6
net worth,4,49
retire,0,5
marco rubio,0,5
for president,0,5
freedom caucus,0,5
stats,0,5
vice president,0,5
retiring,1,15
young,0,4
rand paul,0,4
frankenstein,0,4
faa,0,4
lawyer,0,4
internships,0,4
hudl,0,4
mother,0,4
retirement,0,4
sensenbrenner,0,4
author,0,4
education,0,4
nfl,0,4
chicken,0,4
photography,0,4
art,0,4
tennessee,0,4
puerto rico,0,4
planned parenthood,0,4
ad,0,4
tx,0,3
polls,0,3
ways and means,0,3
representative,0,3
new york times,0,3
apple,0,3
renacci,0,3
india,0,3
usaid,0,3
brookings,0,3
snapchat,0,3
books,0,3
definition,0,3
election results,0,3
president,0,3
georgetown,0,3
new york,0,3
approval rating,0,3
salary,0,3
son,0,3
college,0,3
wv,0,3
climate,0,3
encryption,0,3
press secretary,0,3
kildee,0,3
scholarship,0,3
leadership pac,0,3
pronunciation,0,3
new mexico,0,3
nj,0,3
iran deal,0,3
dds,0,3
endorsement,1,13
cincinnati,0,2
llc,0,2
tn,0,2
mobile al,0,2
ge,0,2
governor,0,2
chicago,0,2
debate,0,2
international,0,2
primary challenger,0,2
elementary school,0,2
company,0,2
sister,0,2
sablan,0,2
tattoo,0,2
signature,0,2
wheelchair,0,2
2015,0,2
crapo,0,2
views,0,2
workout,0,2
kkk,0,2
fitness,0,2
wsj,0,2
canada,0,2
mma,0,2
fl,0,2
intelligence,0,2
npr,0,2
beard,0,2
conaway,0,2
az,0,2
imdb,0,2
montana,0,2
michigan,0,2
letter,0,2
singer,0,2
nevada,0,2
realtor,0,2
fresno,0,2
ceramics,0,2
watson,0,2
north korea,0,2
ohio,0,2
calendar,0,2
harvard,0,2
appropriations,0,2
contract,0,2
pakistan,0,2
poet,0,2
term limits,0,2
verizon,0,2
budget,0,2
institute,0,2
va,0,2
amtrak,0,2
annapolis,0,2
global warming,0,2
alabama,0,2
drummer,0,2
kentucky,0,2
death,0,2
gmo,0,2
basketball,0,2
utah,0,2
boxer,0,2
cruz,0,2
umd,0,2
speaker of the house,0,2
hedge fund,0,2
washington,0,2
elementary,0,2
congressional district,0,2
museum,0,2
pa,0,2
opponent,0,2
construction,0,2
pwc,0,2
comics,0,2
kansas,0,2
nc,0,2
ny,0,2
press release,0,2
massachusetts,0,2
ky,0,2
wife,3,34
dance,0,1
weight loss,0,1
foreign relations committee,0,1
delaware senator,0,1
pearce,0,1
iii obituary,0,1
birthplace,0,1
preferred apartment communities,0,1
opticians bishopbriggs,0,1
tv,0,1
wyoming,0,1
conaway wikipedia,0,1
sensenbrenner kimberly clark,0,1
pilot,0,1
social security,0,1
macleod,0,1
me,0,1
jamal crawford,0,1
crapo address,0,1
oceans,0,1
dell,0,1
wharton,0,1
deloitte,0,1
full movie,0,1
china,0,1
job bank,0,1
garner whiteville nc,0,1
minerals,0,1
inn,0,1
school,0,1
lubbock office,0,1
pbr,0,1
asparagus,0,1
fruitcake,0,1
michael,0,1
ri,0,1
monsanto,0,1
george holding,0,1
financial services,0,1
elementary sharyland,0,1
wall street,0,1
ivy tech,0,1
va 8th district,0,1
adrian garcia,0,1
wrestling,0,1
general atomics,0,1
boots,0,1
cash,0,1
lehigh,0,1
design,0,1
panda,0,1
appropriations committee,0,1
wells fargo,0,1
pbgc,0,1
beckman coulter,0,1
diaz,0,1
flipsyde,0,1
nurse,0,1
racing,0,1
baker botts,0,1
fairfield office,0,1
nrcc,0,1
commercial,0,1
beutler for congress,0,1
medicare part d,0,1
maui,0,1
redskins,0,1
christmas,0,1
ukraine,0,1
kids,0,1
survivor,0,1
canadian,0,1
and friends band,0,1
economics,0,1
alaska,0,1
advertising,0,1
rodgers bio,0,1
military,0,1
schultz primary,0,1
writer,0,1
obamacare,0,1
turkey calls,0,1
duck,0,1
cbre,0,1
wealth of nations,0,1
wastebook,0,1
the voice,0,1
perc,0,1
suburban home inspections,0,1
army,0,1
msu,0,1
sports,0,1
oxford analytica,0,1
ugly baby,0,1
fiduciary rule,0,1
russ feingold,0,1
peru,0,1
sermons,0,1
rodgers staff,0,1
for oregon,0,1
beutler twitter,0,1
richmond headquarters,0,1
connecticut,0,1
paul bader,0,1
lazard,0,1
ma,0,1
judiciary committee,0,1
science,0,1
mn,0,1
navy seal,0,1
csuf,0,1
export import bank,0,1
umbc,0,1
brooks automation,0,1
sawmills,0,1
and bernie sanders,0,1
for governor,0,1
edny,0,1
stroke,0,1
hollen district,0,1
boston office,0,1
yakima office,0,1
flamenco,0,1
syndrome,0,1
septic,0,1
marlin stutzman,0,1
investcorp,0,1
area no kishi,0,1
millstein,0,1
andrade,0,1
sword,0,1
interview,0,1
genocide,0,1
audi,0,1
idaho,0,1
jane eyre,0,1
dcps,0,1
robertson,0,1
designer,0,1
congressional office,0,1
and amy schumer,0,1
snl,0,1
drum solo,0,1
half dome,0,1
cadillac tax,0,1
d&d,0,1
lexington ky,0,1
ironman,0,1
cell phone,0,1
law,0,1
chicago tribune,0,1
counter extremism project,0,1
retail,0,1
baker,0,1
volleyball,0,1
capitalism,0,1
house communications director,0,1
sj,0,1
west virginia,0,1
kilili camacho,0,1
cuernavaca,0,1
schultz primary challenge,0,1
sd,0,1
westbrook,0,1
sensenbrenner jr,0,1
shoes,0,1
james lloyd,0,1
haircut,0,1
trade,0,1
c span,0,1
london,0,1
detroit pistons,0,1
smiling,0,1
k. michael,0,1
colorado,0,1
kress,0,1
group,0,1
imf,0,1
company limited,0,1
byu,0,1
renee ellmers,0,1
obamacare replacement,0,1
microstrategy,0,1
farmer,0,1
vancouver,0,1
fox news,0,1
morgan stanley,0,1
iowa,0,1
senate page residence,0,1
creative mischief,0,1
mmqb,0,1
rate my professor,0,1
snowball,0,1
tea party,0,1
food waste,0,1
liberalism and world politics,0,1
appraiser,0,1
purdue,0,1
james,0,1
university,0,1
wages of whiteness,0,1
boehner,0,1
arrow,0,1
crapo biography,0,1
trailer,0,1
turtle,0,1
schultz,0,1
republican,0,1
hawaii,0,1
andrade book,0,1
challenger,0,1
eric cantor,0,1
beachbody,0,1
c. sablan,0,1
22nd amendment,0,1
ge salary,0,1
rv,0,1
jackson,0,1
hazleton office,0,1
banking,0,1
stages of growth model,0,1
rep,0,1
air force,0,1
ftc,0,1
rodgers for congress,0,1
wustl,0,1
jamestown,0,1
memes,0,1
mother jones,0,1
remax,0,1
schultz bio,0,1
delegate,0,1
achievements,0,1
kris kross,0,1
arizona,0,1
norwich,0,1
place hornby,0,1
mississippi,0,1
247,0,1
facts poem,0,1
amata,0,1
cornerstone,0,1
lion king,0,1
of steaks,0,1
alcoa,0,1
jaguars,0,1
rodgers obamacare,0,1
el camino,0,1
and friends,0,1
syria,0,1
man show,0,1
franken,0,1
tax reform,0,1
akin gump,0,1
lyme disease,0,1
freeman wikipedia,0,1
sponsored bills,0,1
parkinson's,0,1
colombia,0,1
vote,0,1
hall of fame,0,1
bradenton office,0,1
ethics,0,1
michael jordan,0,1
horse,0,1
colbert report,0,1
apiaries,0,1
albany office,0,1
todd young,0,1
endorses hillary,0,1
2,0,1
snagfilms,0,1
palestine,0,1
ecuador,0,1
prince george's county,0,1
ministro del interior,0,1
shepherd,0,1
hollen net worth,0,1
beach slang,0,1
park,0,1
nab,0,1
impeach obama,0,1
washington dc,0,1
dentist,0,1
surfing,0,1
newsday,0,1
rodgers instagram,0,1
maluenda,0,1
toronto,0,1
citibank,0,1
energy bill,0,1
dentist smyrna,0,1
wright state,0,1
lion,0,1
wind power,0,1
adweek,0,1
jim sullivan,0,1
russia,0,1
benghazi,0,1
sensenbrenner wi,0,1
drum set,0,1
craig,0,1
jeb bush,0,1
beutler email,0,1
hud,0,1
beutler staff,0,1
car,0,1
mountain,0,1
dallas,0,1
cherokee,0,1
mckinsey,0,1
zoo,0,1
grisham internship,0,1
grisham bio,0,1
holiday card,0,1
pharmacist,0,1
gym,0,1
reelection,0,1
comcast sportsnet,0,1
fallout 4,0,1
hollen office,0,1
track,0,1
gregorio kilili camacho,0,1
hometown,0,1
chart,0,1
bismarck office,0,1
sc,0,1
chicago il,0,1
queens,0,1
hollen internship,0,1
nei,0,1
kim davis,0,1
dog,0,1
21st century cures,0,1
energy and commerce,0,1
help committee,0,1
schultz chief of staff,0,1
human rights watch,0,1
serantes,0,1
epa,0,1
waddell and reed,0,1
marvel,0,1
green river killer,0,1
schultz husband,0,1
towing guam,0,1
cpa sherman tx,0,1
miller,0,1
seal,0,1
educational background,0,1
national anthem,0,1
music,0,1
series,0,1
surgery partners,0,1
palos park il,0,1
waste watch,0,1
hockey,0,1
grisham,0,1
duke coach,0,1
piano,0,1
email privacy act,0,1
movie reviews,0,1
tournament bracket,0,1
bridge,0,1
son of henry hudson,0,1
dj,0,1
jim sensenbrenner jr,0,1
you lie snl,0,1
magistrate,0,1
rhode island,0,1
dorroh,0,1
jimmy carter,0,1
homestead,0,1
graz,0,1
office dc,0,1
rowing,0,1
grammys 2016,0,1
nfl salary,0,1
poverty and power,0,1
dpm,0,1
steam,0,1
ears,0,1
mark kirk,0,1
senate race,0,1
nfl health and safety,0,1
loflin,0,1
g strings,0,1
grisham eyepatch,0,1
davenport office,0,1
radius,0,1
mari,0,1
usa today,0,1
superhero,0,1
mortgage,0,1
movie,0,1
irs,0,1
wikipedia,0,1
criminal justice,0,1
state,0,1
california vice chair,0,1
meadows in the mountains,0,1
hazleton,0,1
devil's diary,0,1
europa,0,1
darpa,0,1
ray donovan,0,1
maine,0,1
rodgers twitter,0,1
wi,0,1
wall street journal,0,1
beutler voting record,0,1
tucker ellis,0,1
son death,0,1
black sabbath,0,1
astrologer,0,1
sessions court,0,1
holiday retirement,0,1
gwu,0,1
tour,0,1
auctions,0,1
photographer,0,1
hollen endorsements,0,1
rodgers,0,1
jersey,0,1
kicker,0,1
insurance,0,1
congressional district map,0,1
co,0,1
modesto office,0,1
crec,0,1
nomination,0,1
fema,0,1
moore,0,1
kamala harris,0,1
salgado,0,1
publishing,0,1
hollen for senate,0,1
klaproth,0,1
mindfulness,0,1
ucla,0,1
sessions iii,0,1
rivals,0,1
reuters,0,1
legislative director,0,1
arm workout,0,1
guam office,0,1
citizenship,0,1
hollen twitter,0,1
nra,0,1
hastings ne,0,1
filmmaker,0,1
grammy,0,1
rugby,0,1
atlanta,0,1
tucson office,0,1
pdmp,0,1
midland lutheran college,0,1
bill,0,1
royle,0,1
schule bensheim,0,1
south carolina,0,1
mechanical,0,1
skier,0,1
campaign manager,0,1
for supervisor 2016,0,1
jonathan mcconnell,0,1
tuff hedeman,0,1
vape,0,1
conaway texas,0,1
iv,0,1
ii,0,1
iii cincinnati,0,1
event farm,0,1
kilili,0,1
bill cosby,0,1
sage grouse,0,1
and cathy woods,0,1
grant,0,1
and louise bryant,0,1
wm jordan,0,1
speech,0,1
taxidermy,0,1
shelley rubino,0,1
political party,0,1
dhs,0,1
nada,0,1
daughters,0,1
andrade bio,0,1
nh,0,1
nih,0,1
columbia,0,1
university school of law,0,1
nra grade,0,1
grisham office,0,1
town hall,0,1
costa rica,0,1
mortgage waldorf,0,1
wired,0,1
thistlethwaite,0,1
bloomberg,0,1
grisham twitter,0,1
magician,0,1
cpa tucson,0,1
vermont,0,1
center,0,1
mintz,0,1
indonesia,0,1
game,0,1
kansas state,0,1
soccer,0,1
hispanic,0,1
louisiana,0,1
chemistry,0,1
ambassador,0,1
gwar,0,1
mental health bill,0,1
and josephine baker,0,1
tex watson,0,1
witness lee,0,1
mennonite,0,1
vital voices,0,1
noaa,0,1
grisham for congress,0,1
bill maher,0,1
opm,0,1
facts,0,1
visa waiver program,0,1
hollen voting record,0,1
barrington il,0,1
temple university,0,1
supply,0,1
nhl,0,1
nations roof,0,1
blog,0,1
schultz twitter,0,1
rodgers committees,0,1
vp,0,1
royce,0,1
iran letter,0,1
balart office,0,1
carson city,0,1
schultz dc office,0,1
beutler baby 2015,0,1
shield act,0,1
judge,0,1
mccain,0,1
rodgers youtube,0,1
intel,0,1
house ways and means,0,1
cuban adjustment act,0,1
jim lewis,0,1
grange hill,0,1
company ltd,0,1
a. dutch,0,1
mcclatchy,0,1
refugees,0,1
paterson nj,0,1
deal,0,1
beutler committees,0,1
hair,0,1
university of canterbury,0,1
sanger,0,1
