,gender,name,party,suggestion
0,male,Roy,Republican,"[roy blunt, roy blunt committees, roy blount jr, roy blunt for senate, roy blunt twitter, roy blunt dc office, roy blunt supreme court, roy blunt staff, roy blunt chief of staff, roy blunt election]"
1,male,John,Republican,"[john boozman, john boozman for senate, john boozman staff, john boozman primary, john boozman twitter, john boozman committees, john boozman scalia, john boozman facebook, john boozman bio, john boozman address]"
2,male,Richard,Republican,"[richard burr, richard burr for senate, richard burr committees, richard burr car, richard burr twitter, richard burr staff, richard burr family, richard burr wiki, richard burr baker, richard burr chief of staff]"
3,male,John,Republican,"[john isakson, john isakson preferred apartment communities, john isakson kkk, john isakson atlanta, john isakson georgia, johnny isakson staff, johnny isakson for senate, johnny isakson twitter, johnny isakson committees, johnny isakson website]"
4,male,Mark,Republican,"[mark kirk, mark kirk senate, mark kirk twitter, mark kirk supreme court, mark kirk committees, mark kirk poll, mark kirk staff, mark kirk wheelchair, mark kirk news, mark kirk ad]"
5,male,Jerry,Republican,"[jerry moran, jerry moran committees, jerry moran for senate, jerry moran twitter, jerry moran facebook, jerry moran staff, jerry moran scalia, jerry moran wiki, jerry moran primary, jerry moran phone number]"
6,male,Robert,Republican,"[robert portman, robert portman ohio, rob portman for senate, rob portman committees, rob portman twitter, rob portman dc office, rob portman staff, rob portman tpp, rob portman communications director, rob portman chief of staff]"
7,male,Patrick,Republican,"[patrick toomey, patrick toomey aclu, patrick toomey committees, patrick toomey actor, patrick toomey lawyer, patrick toomey address, patrick toomey approval rating, patrick toomey facebook, patrick toomey senator, patrick toomey contact information]"
8,male,David,Republican,"[david vitter, david vitter senate, david vitter twitter, david vitter office, david vitter staff, david vitter facebook, david vitter retiring, david vitter scalia, david vitter net worth, david vitter committees]"
9,female,Barbara,Democrat,"[barbara boxer, barbara boxer staff, barbara boxer twitter, barbara boxer office, barbara boxer internship, barbara boxer retire, barbara boxer 2016, barbara boxer net worth, barbara boxer hillary clinton, barbara boxer press secretary]"
10,male,Michael,Republican,"[michael crapo, michael crapo senator, michael crapo bio, michael crapotta, michael crapo gun control, sen michael crapo, michael d crapo, michael dean crapo biography, senator michael crapo address, michael crapoen]"
11,male,Charles,Republican,"[charles grassley, charles grassley bio, charles grassley senator, charles grassley twitter, charles grassley retiring, charles grassley email, charles grassley supreme court, charles grassley contact, charles grassley office, charles grassley endorsement]"
12,male,Patrick,Democrat,"[patrick leahy, patrick leahy batman, patrick leahy staff, patrick leahy committees, patrick leahy twitter, patrick leahy office, patrick leahy and bernie sanders, patrick leahy age, patrick leahy dc office, patrick leahy internship]"
13,male,John,Republican,"[john mccain, john mccain age, john mccain wife, john mccain twitter, john mccain net worth, john mccain mother, john mccain birthplace, john mccain height, john mccain senate, john mccain son]"
14,female,Barbara,Democrat,"[barbara mikulski, barbara mikulski email, barbara mikulski retiring, barbara mikulski staff, barbara mikulski height, barbara mikulski scholarship, barbara mikulski internship, barbara mikulski twitter, barbara mikulski committees, barbara mikulski quotes]"
15,female,Lisa,Republican,"[lisa murkowski, lisa murkowski staff, lisa murkowski facebook, lisa murkowski twitter, lisa murkowski committees, lisa murkowski for senate, lisa murkowski energy bill, lisa murkowski biography, lisa murkowski primary, lisa murkowski 2016]"
16,female,Patty,Democrat,"[patty murray, patty murray dc office, patty murray staff, patty murray for senate, patty murray twitter, patty murray committee, patty murray 2016, patty murray appropriations, patty murray internship, patty murray help committee]"
17,male,Harry,Democrat,"[harry reid, harry reid twitter, harry reid senate, harry reid supreme court, harry reid net worth, harry reid staff, harry reid chief of staff, harry reid endorsement, harry reid office, harry reid redskins]"
18,male,Charles,Democrat,"[charles schumer, charles schumer staff, charles schumer internship, charles schumer net worth, charles schumer and amy schumer, charles schumer committees, charles schumer twitter, charles schumer office, charles schumer senator, charles schumer gun control]"
19,male,Richard,Republican,"[richard shelby, richard shelby senate, richard shelby primary, richard shelby twitter, richard shelby office, richard shelby ad, richard shelby staff, richard shelby banking, richard shelby poll, richard shelby jonathan mcconnell]"
20,male,Ron,Democrat,"[ron wyden, ron wyden twitter, ron wyden senate, ron wyden wife, ron wyden committees, ron wyden tpp, ron wyden staff, ron wyden office, ron wyden bio, ron wyden 2016]"
21,male,John,Republican,"[john thune, john thune twitter, john thune dc office, john thune committees, john thune staff, john thune for senate, john thune wife, john thune chief of staff, john thune for president, john thune daughters]"
22,male,Lamar,Republican,"[lamar alexander, lamar alexander staff, lamar alexander committees, lamar alexander twitter, lamar alexander education, lamar alexander office, lamar alexander bio, lamar alexander dc office, lamar alexander supreme court, lamar alexander 21st century cures]"
23,male,Daniel,Republican,"[daniel coats, daniel coats biography, daniel coats committees, daniel coats byu, daniel coats voting record, daniel coats hometown, daniel coats nfl salary, daniel coats email, daniel coats senator, daniel coats wiki]"
24,male,Darin,Republican,"[darin lahood, darin lahood committees, darin lahood staff, darin lahood facebook, darin lahood for congress, darin lahood twitter, darin lahood phone number, darin lahood chicago tribune, darin lahood address, darin lahood contact information]"
25,male,Michael,Democrat,"[michael bennet, michael bennett, michael bennett series, michael bennet senator, michael bennet committees, michael bennett stats, michael bennett contract, michael bennett kress, michael bennett shoulder pads, michael bennett jaguars]"
26,male,Richard,Democrat,"[richard blumenthal, richard blumenthal staff, richard blumenthal twitter, richard blumenthal for senate, richard blumenthal chief of staff, richard blumenthal internship, richard blumenthal office, richard blumenthal wiki, richard blumenthal lyme disease, richard blumenthal gun control]"
27,male,Marco,Republican,"[marco rubio, marco rubio wife, marco rubio height, marco rubio age, marco rubio boots, marco rubio twitter, marco rubio net worth, marco rubio ears, marco rubio kids, marco rubio polls]"
28,male,Rand,Republican,"[rand paul, rand paul twitter, rand paul polls, rand paul 2016, rand paul wife, rand paul height, rand paul senate, rand paul debate, rand paul net worth, rand paul views]"
29,female,Kelly,Republican,"[kelly ayotte, kelly ayotte for senate, kelly ayotte twitter, kelly ayotte committees, kelly ayotte endorsement, kelly ayotte staff, kelly ayotte trump, kelly ayotte vice president, kelly ayotte family, kelly ayotte district]"
30,male,John,Republican,"[john hoeven, john hoeven twitter, john hoeven staff, john hoeven for senate, john hoeven committees, john hoeven net worth, john hoeven internship, john hoeven bismarck office, john hoeven office, john hoeven elementary]"
31,male,Mike,Republican,"[mike lee, mike lee senate, mike lee endorsement, mike lee boxer, mike lee pbr, mike lee twitter, mike lee chief of staff, mike lee committees, mike lee staff, mike lee trump]"
32,male,Ron,Republican,"[ron johnson, ron johnson senate, ron johnson supreme court, ron johnson twitter, ron johnson committees, ron johnson poll, ron johnson youtube, ron johnson campaign, ron johnson football, ron johnson russ feingold]"
33,male,Roger,Republican,"[roger wicker, roger wicker staff, roger wicker bio, roger wicker senator, roger wicker committee assignments, roger wicker office, roger wicker gun control, roger wicker net worth, roger wicker phone number, roger wicker internship]"
34,male,Timothy,Democrat,"[timothy kaine, timothy kaine staff, timothy kaine on the issues, timothy kaine committees, timothy kaine senator, timothy kaine lawyer, timothy kaine richmond headquarters, timothy kaine address, timothy kaine biography, governor tim kaine]"
35,male,Ted,Republican,"[ted cruz, ted cruz wife, ted cruz canada, ted cruz twitter, ted cruz smiling, ted cruz height, ted cruz colorado, ted cruz canadian, ted cruz family, ted cruz citizenship]"
36,female,Deb,Republican,"[deb fischer, deb fischer staff, deb fischer chief of staff, deb fischer dc office, deb fischer committees, deb fischer twitter, deb fischer office, deb fischer for senate, deb fischer supreme court, deb fischer scalia]"
37,female,Heidi,Democrat,"[heidi heitkamp, heidi heitkamp staff, heidi heitkamp senate, heidi heitkamp twitter, heidi heitkamp office, heidi heitkamp family, heidi heitkamp governor, heidi heitkamp gun control, heidi heitkamp approval rating, heidi heitkamp website]"
38,male,Angus,Independent,"[angus king, angus king staff, angus king dc office, angus king twitter, angus king senator, angus king internship, angus king committees, angus king instagram, angus king apple, angus king encryption]"
39,female,Elizabeth,Democrat,"[elizabeth warren, elizabeth warren hillary clinton, elizabeth warren endorsement, elizabeth warren bernie sanders, elizabeth warren vice president, elizabeth warren twitter, elizabeth warren net worth, elizabeth warren internship, elizabeth warren for president, elizabeth warren quotes]"
40,male,Joe,Democrat,"[joe manchin, joe manchin twitter, joe manchin staff, joe manchin chief of staff, joe manchin 2016, joe manchin office, joe manchin nra grade, joe manchin wv, joe manchin committees, joe manchin dc office]"
41,male,Pedro,Democrat,"[pedro pierluisi, pedro pierluisi 2016, pedro pierluisi twitter, pedro pierluisi congress, pedro pierluisi puerto rico, pedro pierluisi facebook, pedro pierluisi governor, pedro pierluisi speech, pedro pierluisi youtube, pedro pierluisi chief of staff]"
42,male,Martin,Democrat,"[martin heinrich, martin heinrich for senate, martin heinrich klaproth, martin heinrich staff, martin heinrich twitter, martin heinrich chief of staff, martin heinrich dc office, martin heinrich committees, martin heinrich facebook, martin heinrich new mexico]"
43,male,John,Republican,"[john barrasso, john barrasso staff, john barrasso twitter, john barrasso internship, john barrasso committees, john barrasso net worth, john barrasso bio, john barrasso biography, john barrasso senate, john barrasso phone number]"
44,male,Bob,Republican,"[bob corker, bob corker staff, bob corker twitter, bob corker office, bob corker iran, bob corker foreign relations committee, bob corker tennessee, bob corker height, bob corker pakistan, bob corker election]"
45,male,Sheldon,Democrat,"[sheldon whitehouse, sheldon whitehouse staff, sheldon whitehouse committees, sheldon whitehouse twitter, sheldon whitehouse dc office, sheldon whitehouse supreme court, sheldon whitehouse senator, sheldon whitehouse oceans, sheldon white house communications director, sheldon whitehouse ballotpedia]"
46,male,Robert,Democrat,"[robert casey, robert casey jr, robert casey obituary, robert casey attorney, robert casey facebook, robert casey sr, robert casey committees, robert casey actor, robert casey biography, robert casey address]"
47,male,Jon,Democrat,"[jon tester, jon tester twitter, jon tester staff, jon tester senate, jon tester internship, jon tester committees, jon tester net worth, jon tester voting record, jon tester office, jon tester phone number]"
48,female,Claire,Democrat,"[claire mccaskill, claire mccaskill twitter, claire mccaskill committees, claire mccaskill staff, claire mccaskill dc office, claire mccaskill chief of staff, claire mccaskill cancer, claire mccaskill internship, claire mccaskill bernie sanders, claire mccaskill facebook]"
49,female,Amy,Democrat,"[amy klobuchar, amy klobuchar twitter, amy klobuchar book, amy klobuchar staff, amy klobuchar dc office, amy klobuchar internship, amy klobuchar vice president, amy klobuchar supreme court, amy klobuchar senate, amy klobuchar instagram]"
50,female,Kirsten,Democrat,"[kirsten gillibrand, kirsten gillibrand internship, kirsten gillibrand staff, kirsten gillibrand dc office, kirsten gillibrand twitter, kirsten gillibrand president, kirsten gillibrand hillary clinton, kirsten gillibrand committees, kirsten gillibrand instagram, kirsten gillibrand snapchat]"
51,male,Dean,Republican,"[dean heller, dean heller dc office, dean heller committees, dean heller senator, dean heller supreme court, dean heller twitter, dean heller staff, dean heller website, dean heller gwu, dean heller approval rating]"
52,male,Joe,Democrat,"[joe donnelly, joe donnelly fitness, joe donnelly senate, joe donnelly staff, joe donnelly twitter, joe donnelly facebook, joe donnelly dc office, joe donnelly wiki, joe donnelly bio, joe donnelly arm workout]"
53,female,Mazie,Democrat,"[mazie hirono, mazie hirono staff, mazie hirono twitter, mazie hirono dc office, mazie hirono committees, mazie hirono senate, mazie hirono chief of staff, mazie hirono office, mazie hirono bio, mazie hirono voting record]"
54,male,Christopher,Democrat,"[christopher murphy, christopher murphy georgetown, christopher murphy senate, christopher murphy swimming, christopher murphy dc, christopher murphy umbc, christopher murphy staff, christopher murphy facebook, christopher murphy actor, christopher murphy linkedin]"
55,female,Debbie,Democrat,"[debbie stabenow, debbie stabenow committees, debbie stabenow staff, debbie stabenow dc office, debbie stabenow twitter, debbie stabenow chief of staff, debbie stabenow weight loss, debbie stabenow flint, debbie stabenow senator, debbie stabenow hillary clinton]"
56,male,Bill,Democrat,"[bill nelson, bill nelson senate, bill nelson staff, bill nelson twitter, bill nelson jr, bill nelson chief of staff, bill nelson dc office, bill nelson tpp, bill nelson committee, bill nelson artist]"
57,male,Orrin,Republican,"[orrin hatch, orrin hatch tpp, orrin hatch twitter, orrin hatch committees, orrin hatch supreme court, orrin hatch trump, orrin hatch chief of staff, orrin hatch staff, orrin hatch state, orrin hatch office]"
58,female,Dianne,Democrat,"[dianne feinstein, dianne feinstein quotes, dianne feinstein retiring, dianne feinstein staff, dianne feinstein twitter, dianne feinstein internship, dianne feinstein encryption, dianne feinstein committee, dianne feinstein dc office, dianne feinstein apple]"
59,male,Thomas,Democrat,"[thomas carper, thomas carper poet, thomas carper amtrak, thomas carper staff, thomas carper auctions, thomas carper facts poem, thomas carper delaware senator, thomas carper wiki, thomas carper biography, thomas carper email address]"
60,female,Maria,Democrat,"[maria cantwell, maria cantwell dc office, maria cantwell twitter, maria cantwell office, maria cantwell staff, maria cantwell committees, maria cantwell net worth, maria cantwell chief of staff, maria cantwell internships, maria cantwell website]"
61,male,Bernard,Independent,"[bernie sanders, bernie sanders age, bernie sanders wife, bernie sanders poll, bernie sanders net worth, bernie sanders memes, bernie sanders young, bernie sanders twitter, bernie sanders height, bernie sanders on the issues]"
62,male,Robert,Democrat,"[robert menendez, robert menendez biography, robert menendez nj, robert menendez bio, robert menendez contact, robert menendez email, robert menendez iran, robert menendez office, robert menendez twitter, robert menendez jr]"
63,male,Jeff,Republican,"[jeff flake, jeff flake senate, jeff flake cuba, jeff flake wastebook, jeff flake office, jeff flake committees, jeff flake twitter, jeff flake supreme court, jeff flake staff, jeff flake immigration]"
64,male,Benjamin,Democrat,"[benjamin cardin, benjamin cardin scholarship, benjamin cardin committees, benjamin cardin senator, benjamin cardin email, benjamin cardin staff, benjamin cardin twitter, benjamin cardin office, benjamin cardin email address, benjamin cardin wiki]"
65,male,Sherrod,Democrat,"[sherrod brown, sherrod brown committees, sherrod brown staff, sherrod brown vp, sherrod brown twitter, sherrod brown office, sherrod brown hillary clinton, sherrod brown tpp, sherrod brown senate, sherrod brown internship]"
66,female,Tammy,Democrat,"[tammy baldwin, tammy baldwin senate, tammy baldwin staff, tammy baldwin office, tammy baldwin bio, tammy baldwin twitter, tammy baldwin internship, tammy baldwin chief of staff, tammy baldwin endorses hillary, tammy baldwin wall street]"
67,male,Barack,Democrat,"[barack obama, barack obama twitter, barack obama height, barack obama age, barack obama sr, barack obama net worth, barack obama mother, barack obama elementary school, barack obama facts, barack obama biography]"
68,male,Joseph,Democrat,"[joseph biden, joseph biden net worth, joseph biden iii, joseph biden young, joseph biden son death, joseph biden address, joseph biden cancer, joseph biden staff, joseph biden news, joseph biden supreme court]"
